id,name,harga_beli,satuan
45,Chicken Steak Ayam Paha / porsi,4800,Porsi
46,Kentang Steak / porsi,1000,porsi
47,Mix Vegetable / porsi,1500,porsi
48,BBQ Sauce / porsi,3000,porsi
50,Blackpaper Sauce / porsi,3000,-
51,Chicken Steak Ayam Dada / porsi,4500,porsi
54,Beef Meltic / porsi,31000,porsi
55,Telur / pcs,1900,pcs
56,Beras/ gram,16,per gram
57,Brown Sauce / porsi,3000,porsi
58,Daging Sop Iga / porsi,5000,porsi
59,Kuah Sop Iga / porsi,3000,porsi
60,Kentang sop / porsi,1000,porsi
61,Wortel / porsi,1000,porsi
62,Sambel Soto / porsi,2000,porsi
63,Jeruk Nipis / pcs,400,pcs
64,Daging Soto / porsi,2000,porsi
65,Kuah Soto / porsi,3000,porsi
66,Ayam Goreng / porsi,8000,porsi
67,Sambal Walid / porsi,3000,porsi
68,Ayam Bakar / porsi,8000,porsi
69,Sambal Bawang / porsi,3000,porsi
70,Mie Telur / porsi,1500,porsi
71,Bento / porsi,3000,porsi
72,Kwitiau/ porsi,2500,porsi
73,Tauge / porsi,1000,porsi
74,Daging Slice / porsi,7000,porsi
75,Singkong / porsi,2000,porsi
76,pisang bakar / porsi,2000,porsi
77,donat / porsi,10000,porsi
78,Kentang Krikel / porsi,4000,porsi
79,Teh Tongjie / porsi,800,porsi
80,Gula putih / gr,26,gr
83,Aqua/ pcs,2500,pcs
84,Badak / pcs,14000,pcs
86,Mie Ramen / porsi,4000,
87,Kuah Ramen / porsi,4000,porsi
88,Ayam Suwir / porsi,2500,porsi
89,Yakult/ pcs,3000,pcs
90,Yoghurt / porsi,3000,porsi
92,Susu putih/porsi,1500,porsi
93,Masroom / porsi,3000,Porsi
182,Lamtor Blend,200,Gr
183,Gula Kelapa,155,Gr
185,Es Batu,2,in gr
189,Teh Hitam Celup(tongji),30,Gr
191,Matcha Powder,20,gr
192,Air Soda/Sprite,30,ml
193,Gula Aren,12,ml
194,Simple Sirup/Gula Cair,40,ml
195,Madu,50,ml
196,Caramel Syrup,130,ml
198,Syrup Jasmine,40,ml
201,Syrup Butterscotch,100,ml
202,Sirup Lemon/ ml,50,ml
203,Syrup Pistachio,55,ML
204,Pandan Syrup,250,ml
205,Orange Syrup,350,ml
208,Strawberry Syrup,350,ml
212,Creamer Bubuk,100,Gr
213,Keju Cheddar,20,gr
215,Keju Mozarella,250,gr
217,Mie Basah / Mie Tek-tek,50,gr
221,Ayam Slice,350,gr
224,Gyoza Frozen,3000,Pcs
225,Dimsum Frozen,5000,Pcs
226,Kentang Goreng Frozen,28,gr
227,Nugget Frozen,30,gr
230,Minyak Goreng/ Liter,18,liter
